composer_name	nationality	birth	death
George Gershwin	American	1898	1937
Louis Gobbaerts	Belgian	1835	1886
Joseph White	French	1836	1918
Franz Abt	German	1819	1885
Giovanni Sgambati	Italian	1841	1911
Germain Chevallier	unknown	unknown	unknown
Vladimir Alexandrovich Ziring	unknown	unknown	unknown
Aleksandr Ilyinsky	Russian	1859	1920
Franz von Holstein	German	1826	1878
Agustín Barrios Mangoré	Paraguayan	1885	1944
David del Castillo	unknown	unknown	unknown
Ruoshi Sun	American	unknown	unknown
Hedwige Chrétien	French	1859	1944
Ludwig Schunke	German	1810	1834
Vivian Fine	American	1913	2000
Aleksandr Kopylov	Russian	1854	1911
Joseph Haydn	Austrian	1732	1809
Peter Ritzen	Belgian	1956	2019
Ricardo Matosinhos	Portuguese	1982	-
Emil Frey	Swiss	1889	1946
Hayden Roberts	unknown	2004	-
Waldemar Ebbessen Sommerfelt	Norwegian	1885	1919
Henryk Szopowicz	unknown	1814	1884
Leopold Rietz	unknown	unknown	unknown
Fritz Heinrich Klein	Austrian	1892	1977
João Teixeira Guimarães	Brazilian	1883	1947
Heinrich Schwartz	German	1861	1924
Vjekoslav Rosenberg-Ružić	Croatian	1870	1954
Adolf Reichel	Swiss	1816	1896
Władysław Lubomirski	Polish	1866	1934
Justin Clérice	French	1863	1908
Hans Bill	German	1957	-
Minna Brinkmann	unknown	unknown	unknown
Adrien Bérou	unknown	1824	1907
Donald Francis Tovey	British	1875	1940
Leopold Welleba	unknown	1878	1953
Charles Grobe	unknown	1817	1879
David Toub	American	1961	-
Wilhelm Peterson-Berger	Swedish	1867	1942
Kiyoshi Nobutoki	Japanese	1887	1965
Charles Wels	American	1825	1906
Joseph Bazin	French	1816	1878
Léon Boëllmann	French	1862	1897
August de Boeck	Belgian	1865	1937
Giovanni D'Andrea	Italian	1532	1585
Georg Eggeling	unknown	1866	1923
Constantin Bürgel	Polish	1837	1909
Frank Frysinger	unknown	unknown	unknown
Claude Goudimel	French	1514	1572
Ignace Xavier Joseph Leybach	French	1817	1891
Emanuel de Beaupuis	unknown	1860	1913
Louis Zeise	unknown	unknown	unknown
Yevgeny Gunst	Russian	1877	1950
Granville Bantock	British	1868	1946
Stefan Zink	unknown	1978	-
Karol Szymanowski	Polish	1882	1937
Georg Wichtl	Polish	1805	1877
Armand Gouzien	unknown	1839	1892
Antoine Mariotte	French	1875	1944
Riccardo Zandonai	Italian	1883	1944
Desiré Magnus	Belgian	1828	1883
José Viñas	Spanish	1823	1888
Andrea Antico	Italian	1480	1530
Luigi Pozzi	unknown	unknown	unknown
Albert Locke Norris	unknown	unknown	unknown
Nikolay Rubinstein	Russian	1835	1881
Angel Viro	unknown	unknown	unknown
Fredrik Klint	Swedish	1811	1894
Adam Gumpelzhaimer	German	1559	1625
Wilhelm Stenhammar	Swedish	1871	1927
Jorge Luis Valverde	Ecuadorean	unknown	unknown
Robert Davidson	Australian	1965	-
Ignacy Krzyżanowski	Polish	1826	1905
Leonhard Emil Bach	Polish	1849	1902
A. S. Sweet	unknown	unknown	unknown
Antoine Brumel	French	1460	1512
Mario Foscarina	French	1850	1921
Ernst Linko	Finnish	1889	1960
Carl Czerny	Austrian	1791	1857
François Prume	Belgian	1816	1849
Johann Josef Rösler	Bohemian	1771	1812
Otto Reinsdorf	German	1848	1890
Emmanuel Chavaneau	unknown	unknown	unknown
Milo Ellsworth Benedict	unknown	1866	1931
Claude Le Jeune	French	1528	1600
Irina Bragina	unknown	1973	-
Grigory Krein	Russian	1879	1955
Elisa Fuchs-Delaye	unknown	1902	-
Henning Mankell	Swedish	1868	1930
Harry Drew	unknown	unknown	unknown
Nathan Jensen	unknown	unknown	unknown
Gustav Saenger	Spanish	1865	1935
Ted Snyder	American	1881	1965
Alexis de Castillon	French	1838	1873
Liana Alexandra	Romanian	1947	2011
Bernhard Stavenhagen	German	1862	1914
Manuel Infante	Spanish	1883	1958
Claudio Macchi	Italian	1928	1992
François-Alexis Cavaillé	unknown	unknown	unknown
Ettore Pozzoli	Italian	1873	1957
Alexander Strugov	unknown	unknown	unknown
George R. Paine	unknown	unknown	unknown
Carlos Andrés Jurado	unknown	unknown	unknown
Stanislav Letovsky	American	1890	1965
Johan Lindegren	Swedish	1842	1908
Rodolfo Mattiozzi	Italian	1832	1875
Mikhail Ivanov-Boretsky	Russian	1874	1936
Erich Wolfgang Korngold	American	1897	1957
Arturo Toscanini	Italian	1867	1957
Christian Pezold	German	1677	1733
Peter Piel	German	1835	1904
Theo Ward	American	1902	1961
Yichuan Shen	Chinese	unknown	unknown
Ermend Bonnal	French	1880	1944
Hans Buchner	German	1483	1538
DeLano Cain	unknown	unknown	unknown
Ernest John Moeran	British	1894	1950
Albert Biehl	German	1835	1899
Valentine Chevrier	unknown	unknown	unknown
Alden Jenks	American	1940	-
Harold Bedoya	Colombian	1988	-
Walter Gatti	unknown	unknown	unknown
Leopold Kozeluch	Bohemian	1747	1818
Jacopo Foroni	Italian	1824	1858
Alec Rowley	British	1892	1958
Boris Lyatoshinsky	Ukrainian	1895	1968
Giovanni Battista Biondi	unknown	1598	1609
E.J. Mergen	unknown	unknown	unknown
Nikolaos-Laonikos Psimikakis-Chalkokondylis	unknown	unknown	unknown
Cyril Plante	unknown	1975	-
Karl Matys	German	1835	1908
Richard Burg	unknown	unknown	unknown
William Wolstenholme	British	1865	1931
Alexandre Tansman	French	1897	1986
Karen Keyhani	Iranian	1979	-
Pyotr Ryazanov	Russian	1899	1942
Harris Andersen	unknown	unknown	unknown
Joseph Cox Bridge	British	1853	1929
Nikolay Obukhov	Russian	1892	1954
Karl Wohlfart	Swedish	1874	1943
Samuel Webbe	British	1740	1816
Charles Vollweiler	German	1770	1847
Hugo Wolf	Austrian	1860	1903
Guillaume Vargas	unknown	unknown	unknown
Edward Mack	American	1826	1882
Richard Armstrong Whiting	American	1891	1938
Adrian Dahl	Swedish	1864	1935
Anton Webern	Austrian	1883	1945
Adolf Gutmann	German	1819	1882
Ferdinand Möhring	German	1816	1887
Apollon Gussakovsky	Russian	1841	1875
Fritz Kirchner	German	1840	1907
François Bazin	French	1816	1878
Gustav Ellerton	unknown	unknown	unknown
Ernest Gillet	French	1856	1940
Celestina Masotti	unknown	unknown	unknown
Auguste Franchomme	French	1808	1884
Leander Fisher	American	1850	1917
Paul Dupin	French	1865	1949
Atie Bernet	Dutch	1955	-
Ernst Eichner	German	1740	1777
Georges Guiraud	French	1868	1928
Jean-François Dandrieu	French	1682	1738
Felix Borowski	American	1872	1956
Paul Ladmirault	French	1877	1944
Juan Alais	Argentine	1844	1914
Charles Gounod	French	1818	1893
Octávio Pinto	Brazilian	1890	1950
Tobias Volckmar	German	1678	Died
Leonhard von Call	Austrian	1767	1815
Edmund Braham	American	1860	1921
Julián Aguirre	Argentine	1868	1924
Amy Marcy Beach	American	1867	1944
Ernst Krenek	Austrian	1900	1991
Fidelis Zitterbart Jr.	American	1845	1915
Melvin Clive Bird	British	1955	-
John Orth	American	1850	1932
Vivien Mertz Elteart	unknown	unknown	unknown
Silvestre Revueltas	Mexican	1899	1940
Gertrude Ina Robinson	unknown	1868	unknown
José Guelbenzu	Spanish	1819	1886
Ludwig Wilhelm Tepper von Ferguson	Polish	1768	1838
Julius Reubke	German	1834	1858
Cecil Burleigh	American	1885	1980
Anton Diabelli	Austrian	1781	1858
Carel Anton Fodor	Dutch	1768	1846
Heinrich Panofka	German	1807	1887
Hendrik Pieter Steenhuis	unknown	1850	1934
Frédéric Chopin	Polish	1810	1849
Richard Kenwood Herriott	unknown	unknown	unknown
Lindsay Lennox	unknown	unknown	unknown
Giovanni Battista Pergolesi	Italian	1710	1736
Herrman S. Saroni	American	1824	1900
Olaf Paulus	unknown	unknown	unknown
Harvey Worthington Loomis	American	1865	1930
Giuseppe Martucci	Italian	1856	1909
Arthur Pryor	American	1869	1942
Kaspar Kummer	German	1795	1870
David Pellejer	unknown	unknown	unknown
Johann Caspar Ferdinand Fischer	German	1656	1746
Landon Ronald	British	1873	1938
Wm. G. Banks	unknown	unknown	unknown
Olaf Emil Eriksen	Norwegian	1841	1914
Ignaz Moscheles	Bohemian	1794	1870
Erkki Melartin	Finnish	1875	1937
Luis de Soria	unknown	1851	1935
James Scott	American	1885	1938
Charles Crozat Converse	American	1832	1918
Gaspar Cassadó	Spanish	1897	1966
E. B. Bacon	unknown	unknown	unknown
William Alexander Kilner	unknown	unknown	unknown
Leonardo de Lorenzo	Italian	1875	1962
Friedrich Max Anton	German	1877	1939
Alfred Cottin	French	1863	1923
Fromental Halévy	French	1799	1862
Nikolay Myaskovsky	Russian	1881	1950
Viking Dahl	Swedish	1895	1945
George Baclay	unknown	unknown	unknown
Craig Shoemaker	unknown	unknown	unknown
Venanzio Cellitti	unknown	1972	-
Mary Bowden	American	unknown	unknown
Mikhail Krasev	Russian	1897	1954
Andrzej Chmielewski	unknown	unknown	unknown
Louis Oscar Comettant	French	1819	1898
Sylvio Lazzari	French	1857	1944
Bernard Adler	American	1879	1942
Hugo Bussmeyer	unknown	1842	1912
Javier Jacinto	Spanish	1968	-
G. W. Adams	unknown	unknown	unknown
Vazel Merenzeine	unknown	1990	-
Henri Verley	unknown	unknown	unknown
Ricardo Castro	Mexican	1864	1907
Ossip Gabrilowitsch	American	1878	1936
Johann Sebastian Bach	German	1685	1750
Joâo Schnier	unknown	unknown	unknown
Carl Grammann	German	1842	1897
Clara Schumann	German	1819	1896
Mily Balakirev	Russian	1837	1910
John William Harmston	British	1822	1881
Lionel John Alexander Monckton	British	1861	1924
Rikard Nordraak	Norwegian	1842	1866
Marco Enrico Bossi	Italian	1861	1925
Nikolay Kochetov	Russian	1864	1925
Daniel Léo Simpson	American	1959	2019
Kurt Striegler	German	1886	1958
Aleksandr Gedike	Russian	1877	1957
James Fry	unknown	1949	-
Friedrich von Flotow	German	1812	1883
Alexis Chauvet	French	1837	1871
Antoni Stolpe	Polish	1851	1872
Carl Heins	German	1859	1923
Otto Langey	American	1851	1922
Georges Micheuz	Austrian	1805	1882
A. Marando	unknown	unknown	unknown
Homer Grunn	American	1880	1944
Moritz Moszkowski	German	1854	1925
George Frederick Boyle	Australian	1886	1948
Georg Capellen	German	1869	1934
R. Gruenwald	unknown	unknown	unknown
Jean-Pierre Solié	French	1755	1812
Tatiana Stankovych	unknown	unknown	unknown
Karl Adolf Lorenz	German	1837	1923
Arthur Shepherd	American	1880	1958
Hannes Kotka	Finnish	1898	1934
Leopold Mozart	German	1719	1787
Brandon Owen	unknown	unknown	unknown
Aleksandr Glazunov	Russian	1865	1936
Tivadar Nachéz	Hungarian	1859	1930
Pierre de Bréville	French	1861	1949
Louis Ganne	French	1862	1923
Albert Roussel	French	1869	1937
Sebastian Lee	German	1805	1887
Wilhelm Kothe	unknown	1831	1899
Mieczysław Surzyński	Polish	1866	1924
Roy Agnew	Australian	1891	1944
John Ireland	British	1879	1962
Jan Kleczyński	Polish	1837	1895
Charles Mayer	German	1799	1862
Georg Scholz	unknown	unknown	unknown
Marianne Auenbrugger	Austrian	1759	1782
Makar Yekmalian	Armenian	1856	1905
W. P. Badger	unknown	unknown	unknown
W. R. Hunt	unknown	unknown	unknown
Charles Quef	French	1873	1931
Magda Bugge	unknown	unknown	unknown
Fabio Campana	Italian	1819	1882
Eduardo H. de Anduaga	unknown	unknown	unknown
Christian Flor	German	1626	1697
Johann Baptist Gänsbacher	Austrian	1778	1844
Kristof J. Weber	unknown	unknown	unknown
Fats Waller	American	1904	1943
Andreas Sain	unknown	unknown	unknown
John Philip Sousa	American	1854	1932
Alexandre Welinsky	unknown	unknown	unknown
Alfredo Carrasco	Mexican	1875	1945
Ernst Kullak	German	1855	1914
George Marston	British	1882	1940
Carl Chesneau	unknown	unknown	unknown
François Brémond	unknown	1844	1925
Karl Klindworth	German	1830	1916
Lazare Saminsky	Russian	1882	1959
Gianluca Bersanetti	unknown	unknown	unknown
Matin ShaianFar	unknown	unknown	unknown
Viktor Jacobi	Hungarian	1883	1921
Alessandro Mentasti	Italian	1844	1910
Serban Nichifor	Romanian	1954	-
Florence Price	American	1887	1953
Matvey Gozenpud	Ukrainian	1903	1961
Karl Jacobi	German	1804	1851
Antonio José Cappa	Spanish	1824	1886
António Fragoso	Portuguese	1897	1918
Arturo Gutiérrez-Martínez	Mexican	1984	-
Helen Hopekirk	British	1856	1945
Boris Karagichev	Russian	1879	1946
Walter Wallace Smith	unknown	1894	1948
Nicolai von Wilm	German	1834	1911
Gioseffo Zarlino	Italian	1517	1590
Chester Edward Ide	American	1877	1944
Johann Pfeifer	German	1697	1761
Konstantin Eiges	Russian	1875	1950
Paul Juon	Russian	1872	1940
Edward J. Mellinger	unknown	unknown	unknown
Walter Rolfe	American	1880	1944
Alexander Julius Paul Dorn	German	1833	1901
Kor Kuiler	Dutch	1877	1951
Camille Stamaty	French	1811	1870
Reynaldo Hahn	French	1874	1947
Algernon Ashton	British	1859	1937
Colin Peter Snuggs	unknown	1977	-
Heitor Villa-Lobos	Brazilian	1887	1959
Paul Paray	French	1886	1979
Karl Deigendesch	unknown	1839	1911
Luigi Bottazzo	Italian	1845	1924
Jan Václav Voříšek	Czech	1791	1825
František Pícha	Czech	1893	1964
Anselm Hüttenbrenner	Austrian	1794	1868
John Twiname Gardner	British	1854	1914
Rex de Cairos-Rego	Australian	1858	1946
Johann Ludwig Krebs	German	1713	1780
Adam Wroński	Polish	1850	1915
Albert Pieczonka	American	1828	1912
Richard Kram	unknown	unknown	unknown
Clifford Adams	unknown	unknown	unknown
Johann Baptist Peyer	Austrian	1678	1733
Fritz Zierau	German	1865	1931
Jordan Nobles	Canadian	1969	-
Francesco Zappa	Italian	1717	1788
Philipp Scharwenka	German	1847	1917
Gustav Lazarus	German	1861	1920
Léonard Gautier	French	1866	1955
Édouard Deransart	unknown	unknown	unknown
Thomas Morley	British	1557	1602
Théodore Lack	French	1846	1921
Adolfo Fumagalli	Italian	1828	1856
Vladimir Drozdov	American	1882	1960
Vladimir Deshevov	Russian	1889	1955
Valery Zhelobinsky	Russian	1913	1946
Joseph Batta	Dutch	1824	unknown
Ulises Hernández	unknown	unknown	unknown
Carl Kölling	German	1831	1914
Nestor Nizhankovsky	unknown	1893	1940
Reginald De Koven	American	1859	1920
Alexander von Zemlinsky	Austrian	1871	1942
Johann Joseph Fux	Austrian	1660	1741
Edgar Leslie Bainton	Australian	1880	1956
Edgar Girtain IV	unknown	1988	-
Robert Volkmann	German	1815	1883
George Alfred Grant-Schaefer	American	1872	1939
Jean-Baptiste Weckerlin	French	1821	1910
Cesare Negri	Italian	1535	1605
Alexandre Guilmant	French	1837	1911
Richard Strauss	German	1864	1949
Stefano Vicelli	Italian	1987	-
Timur Ismagilov	Russian	1982	-
Charles Summer Morrison	unknown	unknown	unknown
François Campion	French	1686	1747
Joseph Marx	Austrian	1882	1964
Leo Ernst	unknown	unknown	unknown
Albert Alain	French	1880	1971
Rudolf Bial	German	1834	1881
Hanns Eisler	Austrian	1898	1962
Rolf-Peter Wille	unknown	unknown	unknown
Gustav Satter	Austrian	1832	1879
Joseph Woelfl	Austrian	1773	1812
Richard W. Sargeant Jr.	unknown	unknown	unknown
Norman O'Neill	British	1875	1934
Ignaz Tedesco	Bohemian	1817	1882
Irene Audain	unknown	unknown	unknown
Fini Henriques	Danish	1867	1940
Abraham Tena Manrique	unknown	unknown	unknown
Marie Josef Erb	French	1858	1944
Ferdinand Laven	German	1879	1947
Kio Song	Japanese	unknown	unknown
Graham Client	unknown	unknown	unknown
William F. Sudds	American	1843	1920
Stephen Foster	American	1826	1864
Calixa Lavallée	Canadian	1842	1891
Józef Nowakowski	Polish	1800	1865
Franz Anton Hoffmeister	German	1754	1812
Emanuel Chvála	Czech	1851	1924
Filip Lazar	Romanian	1894	1936
Arnoldo Sartorio	German	1853	1936
Joaquín Nin	Cuban	1879	1949
Adolph Baumbach	German	1830	1880
Gatien Marcailhou	French	1807	1855
Tekla Bądarzewska-Baranowska	Polish	1834	1861
Marco Dall'Aquila	Italian	1480	1544
Samuil Maykapar	Russian	1867	1938
Steven O'Brien	unknown	unknown	unknown
Josef Gabriel Rheinberger	German	1839	1901
Johann Went	Bohemian	1745	1801
Jacques Widerkehr	French	1759	1823
Davide Verotta	unknown	unknown	unknown
George Alexander Macfarren	British	1813	1887
Walter E. Miles	unknown	unknown	unknown
Carl Friedrich Zelter	German	1758	1832
Ruperto Chapí	Spanish	1851	1909
Karl Muscat	unknown	unknown	unknown
Charles-Hilaire Laurent	unknown	unknown	unknown
Mark Janza	unknown	unknown	unknown
Gregory Carl Pfeiffer	American	1977	-
Drew Bales	unknown	unknown	unknown
Berthold Damcke	German	1812	1875
Fábio Soldá	unknown	unknown	unknown
Gustav Holst	British	1874	1934
Charles Ives	American	1874	1954
Jean-Baptiste Lafrenière	Canadian	1874	1912
Jules Daniel	French	1842	1912
Eduard Rohde	German	1828	1883
Gregory Hamilton	American	1959	-
Gara Garayev	Azerbaijani	1918	1982
Friedrich Starke	German	1774	1835
Olivier Lebierre	unknown	1851	1914
Alfred Frederic Mullen	British	1868	1936
Pascal Picard	French	1962	-
Henri Chollet	unknown	unknown	unknown
Sigizmund Zaremba	Russian	1861	1915
René Amengual	Chilean	1911	1954
Edward Enrico Gerber	unknown	unknown	unknown
Władysław Żeleński	Polish	1837	1921
Rudolf Niemann	German	1876	1953
Gabriel Fauré	French	1845	1924
William Vincent Wallace	Irish	1812	1865
George Petrie	Irish	1790	1866
Dosia McKay	American	unknown	unknown
Max Reger	German	1873	1916
Johann Strauss Jr.	Austrian	1825	1899
Louis Eller	Austrian	1820	1862
Henry Sarly	Belgian	1659	1695
Carlotta Ferrari	Italian	1837	1907
Gaston Carraud	French	1864	1920
Ernest Cury	unknown	unknown	unknown
Charles Dennée	American	1863	1946
A. F. S. Gustafson	unknown	unknown	unknown
Hermann Adolf Wollenhaupt	German	1827	1863
Elisabeth von Herzogenberg	German	1847	1892
Edward Horsman	American	1873	1918
Michael S Jones	Canadian	1942	-
Jules Rochard	unknown	unknown	unknown
Gerard Bunk	German	1888	1958
Blanche Selva	French	1884	1942
Giovanni Gabrieli	Italian	1557	1612
Sergio Aarón Pérez	unknown	1992	-
Charles Wiseman	Italian	1738	1778
Ulisse Matthey	Italian	1876	1947
Wilhelm Küchenmeister	unknown	unknown	unknown
Anton Dianov	Russian	1882	1939
Francisco Hargreaves	Argentine	1849	1900
Isidore Leo Pavia	Italian	1875	1945
Selim Palmgren	Finnish	1878	1951
Felix Blumenfeld	Russian	1863	1931
Yuri Yatsevich	Ukrainian	1901	1968
Johann Christian Bach	German	1735	1782
Gustave Sandré	French	1843	1916
Auguste Werner	Norwegian	1893	1980
Nikolay Roslavets	Russian	1881	1944
A. Emmett Adams	unknown	unknown	unknown
Johann Resch	Austrian	1830	1889
Lyonel Feininger	German	1871	1956
Charles-Louis Hanon	French	1819	1900
Gilbert-Louis Duprez	French	1806	1896
Sol Paul Levy	American	1881	1920
John Blackwood McEwen	British	1868	1948
D. Emlyn Evans	British	1843	1913
Charles Bordes	French	1863	1909
Jean Huré	French	1877	1930
George Onslow	French	1784	1853
Ferdinand Poise	French	1828	1892
José Hilario Miramontes	unknown	unknown	unknown
Alain M. Jacques	unknown	unknown	unknown
Angelo Mariani	Italian	1821	1873
Ernesto Ferreri	unknown	unknown	unknown
Sina Kafashi	unknown	unknown	unknown
Edmond Missa	French	1861	1910
Thomas James Hewitt	unknown	1880	1948
Kristian Oma Rønnes	unknown	1991	-
Theodore Akimenko	Russian	1876	1945
Arnold Bax	British	1883	1953
J. Franz	Austrian	1732	1809
Carlo Gianelli	unknown	unknown	unknown
Henri Cieutat	unknown	unknown	unknown
Bob Alden	unknown	unknown	unknown
Philippe Bérot	French	1881	1918
Henry L. Tucker	American	1826	1882
Johann Georg Witthauer	German	1750	1802
Émile Bret	unknown	1824	1891
Gabriel Sizes	unknown	unknown	unknown
Arthur Battelle Whiting	American	1861	1936
Stefan Malinowski	American	1953	-
Adolf Minot	unknown	unknown	unknown
Friedrich Kuhlau	Danish	1786	1832
Marianne Martinez	Austrian	1744	1812
Édouard Broustet	French	1836	1901
Isadore Freed	Belarusian	1900	1960
Jean-Baptiste Parant	Italian	1632	1687
Johann Christoph Friedrich Bach	German	1732	1795
Louis Aubert	French	1877	1968
Gustaf Hildor Brink	Swedish	1858	1904
Francesco Bianciardi	Italian	1570	1607
Emile Chizat	French	1855	1924
Piotr Maszyński	Polish	1855	1934
Charles Oberthür	German	1819	1895
Adolph Kölling	German	1840	1913
Fabio Costa	Brazilian	1971	-
Gina Ismene Chitty	Australian	unknown	unknown
Leonid Sabaneyev	Russian	1881	1968
John Francis Barnett	British	1837	1916
Luigi Rossi	Italian	1597	1653
Walter Donaldson	American	1893	1947
Wilhelm Heiser	German	1816	1897
Komitas Vardapet	Armenian	1869	1935
Orazio Benevoli	Italian	1605	1672
Joseph Kaspar Raff	unknown	unknown	unknown
Marcial del Adalid	Spanish	1826	1881
George Templeton Strong	American	1856	1948
Charles Alard	French	1815	1888
Pierre Baillot	French	1771	1842
Marieh Marieh	unknown	unknown	unknown
José Ferrer	Spanish	1835	1916
Arthur Benjamin	Australian	1893	1960
Jules Massenet	French	1842	1912
Renato Segati Moraes	unknown	unknown	unknown
Aleksander Michałowski	Polish	1873	1938
Paul Schumacher	German	1848	1891
Johann Friedrich Reichardt	German	1752	1814
José María Usandizaga	Spanish	1887	1915
Joseph Haas	German	1879	1960
Henry Leslie	British	1822	1896
Leonid Polovinkin	Russian	1894	1949
Julián Santos Carrión	Spanish	1908	1983
Wilfred Sanderson	British	1878	1935
Erwin Schulhoff	Czech	1894	1942
Sriram Ajith	unknown	unknown	unknown
Günther Bartel	German	1833	1911
Frederic Abel	German	1723	1787
Archibald Joyce	British	1873	1963
Daniel Van Goens	French	1858	1904
Paul Csige	American	1982	-
Martin Grayson	unknown	unknown	unknown
Louis Couperin	French	1626	1661
Ángel Gregorio Villoldo	Argentine	1861	1919